Study ID,First_Authors,year ,Animal model ,Strain/Breed ,Group,Sample Size,Age,Age Unit,Sex ,Serum IGF-1,IGF-1 Unit,Body Weight,BW Unit,Femur length,Length Unit ,Bone Mineral Density,BMD Unit,IGF-1 Measurement Method,Location ,Captive/wild animals,Lab/Field Setting,Study Design
2,"He, J. ",2006,Mice ,,Wild Type(WT) ,9,547.89,days,Male ,506.9 ± 58.6,ng/ml,46.5 ± 3.3,g,16.51 ± 0.52,mm,73.6 ± 5.1,mg/cm^2,RadioImmunoAssay,,Captive,Lab ,
2,"He, J. ",2006,Mice ,,heterozygous knockout (HET) mice.,5,821.29,days,Male ,345.2 ± 48.3,ng/ml,40.0 ± 5.8,g,15.84 ± 0.42,mm,65.8 ± 3.3,mg/cm^2,RadioImmunoAssay,,Captive,Lab ,
2,"He, J. ",2006,Mice ,,Wild Type(WT) ,8,825.5,days,Female,557.5 ± 61.3,ng/ml,39.4 ± 5.8,g,17.09 ± 0.77,mm,73.8 ± 4.0,mg/cm^2,RadioImmunoAssay,,Captive,Lab ,
2,"He, J. ",2006,Mice ,,heterozygous knockout (HET) mice.,7,821.57,days,Female,401.7 ± 125.0,ng/ml,32.6 ± 5.4,g,16.51 ± 0.64,mm,67.7 ± 4.0,mg/cm^2,RadioImmunoAssay,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,Wild-type,7,826.86,days,Female,286.72 ± 55.63,ng/mL,22.73  ± 1.43,g,,,,,ElISA,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,liver-specific IGF-I-deficient [LID] mice),6,822.6,days,Female,47.37 ± 5.63,ng/mL,18.59  ± 1.00,g,,,,,ElISA,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,5m GFP,7,826.75,days,Female,314.93 ± 59.3,ng/mL,24.03 ± 1.67,g,,,,,ElISA,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,5m Cre,7,821.29,days,Female,40.60 ± 6.96,ng/mL,19.18 ± 0.62,g,,,,,ElISA,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,15m GFP,5,823.71,days,Female,268.98 ± 24.73,ng/mL,24.59 ± 1.23,g,,,,,ElISA,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,15 Cre,4,825.29,days,Female,47.20 ± 6.97,ng/mL,17.47 ± 1.02,g,,,,,ElISA,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,Wild-type,7,817.67,days,Male ,318.50 ± 16.54,ng/mL,26.93 ± 1.71,g,,,,,ElISA,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,liver-specific IGF-I-deficient [LID] mice),7,823,days,Male ,46.26 ± 9.51,ng/mL,23.44 ± 1.32,g,,,,,ElISA,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,5m GFP,7,826.5,days,Male ,292.91 ± 35.05,ng/mL,26.79 ± 0.98,g,,,,,ElISA,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,5m Cre,6,817.67 ± 5.92,days,Male ,54.43 ± 8.67,ng/mL,23.22 ± 1.09,g,,,,,ElISA,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,15m GFP,5,823.00 ± 5.34,days,Male ,312.81 ± 29.49,ng/mL,26.49 ± 1.05,g,,,,,ElISA,,Captive,Lab ,
3,"Ashpole, N. M.",2016,Mice ,,15 Cre,4,826.50 ± 1.73,days,Male ,56.00 ± 7.79,ng/mL,24.53 ± 0.94,g,,,,,ElISA,,Captive,Lab ,
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,62.66,ng/ml,690460,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,149.55,ng/ml,700550,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,153.47,ng/ml,700550,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,162.47,ng/ml,709170,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,162.47,ng/ml,716490,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,104.17,ng/ml,714790,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,45.86,ng/ml,655830,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,45.72,ng/ml,646880,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,43.95,ng/ml,635600,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,43.92,ng/ml,630570,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,43.6,ng/ml,621390,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,43.6,ng/ml,617300,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,52.63,ng/ml,614550,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,52.63,ng/ml,614380,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,52.63,ng/ml,615720,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,49.95,ng/ml,607930,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,47.26,ng/ml,613770,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Low BCS,9,,,Femlale ,47.26,ng/ml,619610,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,156.17,ng/ml,814340,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,149.01,ng/ml,814340,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,141.85,ng/ml,815320,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,141.85,ng/ml,816290,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,94.83,ng/ml,823720,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,47.8,ng/ml,780640,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,47.8,ng/ml,737550,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,35.78,ng/ml,725140,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,35.78,ng/ml,712720,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,47.49,ng/ml,704570,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,47.49,ng/ml,696410,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,51.23,ng/ml,691670,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,54.96,ng/ml,694160,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,54.96,ng/ml,696650,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,58.11,ng/ml,693740,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,61.26,ng/ml,695020,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,Medium BCS,10,,,Femlale ,61.26,ng/ml,696290,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,208.31,ng/ml,805220,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,184.42,ng/ml,805220,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,160.52,ng/ml,809840,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,160.52,ng/ml,814460,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,107.28,ng/ml,807890,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,54.03,ng/ml,770590,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,54.03,ng/ml,733290,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,60.29,ng/ml,727880,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,60.29,ng/ml,722460,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,67.72,ng/ml,715830,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,67.72,ng/ml,709190,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,68.93,ng/ml,702620,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,70.14,ng/ml,699340,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,70.14,ng/ml,696050,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,70.37,ng/ml,693730,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,70.6,ng/ml,690140,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
4,Pires,2013,Dairy Cow,Holstein-Friesian,High BCS,9,,,Femlale ,70.6,ng/ml,686550,g,,,,,Radioimmunoassay (RIA),"Orcival, France (INRA experimental farm)",Captive (dairy farm),Field (dairy farm),Observational study based on BCS at calving
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,98.36,ng/ml,18.12,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",Captive (experimental mice,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,98.36,ng/ml,18.12,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,98.36,ng/ml,18.12,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,98.36,ng/ml,18.12,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,98.36,ng/ml,18.12,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,97.37,ng/ml,18.15,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,88.64,ng/ml,18.39,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,87.76,ng/ml,18.41,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,87.33,ng/ml,18.42,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,87.15,ng/ml,18.83,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,87.11,ng/ml,18.87,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,87.06,ng/ml,18.93,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,86.9,ng/ml,19.17,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
5,"Berrigan, D.",2005,Mice ,C57BL/6NCr,AL Fed,,,,Female ,86.88,ng/ml,19.19,g,,,,,Radioimmunoassay,"National Cancer Institute, Bethesda MD",,Lab,Effects of calorie restriction and IGF-1 treatment on body composition and bone characteristics
